Location,Price,Rooms,Bathrooms,Car Parks,Property Type,Size,Furnishing
"Ampang, Kuala Lumpur","RM 530,000",1,1,1,Serviced Residence (Corner),Built-up : 640 sq. ft.,Fully Furnished
"Ampang, Kuala Lumpur","RM 500,000",1,1,1,Serviced Residence (Intermediate),Built-up : 520 sq. ft.,Fully Furnished
"Ampang, Kuala Lumpur","RM 1,050,000",3+1,3,2,Serviced Residence (Corner),"Built-up : 1,570 sq. ft.",Partly Furnished
"Ampang, Kuala Lumpur","RM 530,000",1,1,1,Serviced Residence (Intermediate),Built-up : 640 sq. ft.,Fully Furnished
"Ampang, Kuala Lumpur","RM 638,000",1,1,1,Serviced Residence (Intermediate),Built-up : 705 sq. ft.,Fully Furnished
"Ampang, Kuala Lumpur","RM 590,000",1,1,1,Serviced Residence (Intermediate),Built-up : 705 sq. ft.,Partly Furnished
"Ampang, Kuala Lumpur","RM 608,000",2,2,2,Serviced Residence (Corner),Built-up : 948 sq. ft.,Unfurnished
"Ampang, Kuala Lumpur","RM 980,000",2,2,2,Serviced Residence (Corner),"Built-up : 1,130 sq. ft.",Partly Furnished
"Ampang, Kuala Lumpur","RM 970,000",2,2,2,Serviced Residence (Corner),"Built-up : 1,137 sq. ft.",Fully Furnished
"Cheras, Kuala Lumpur","RM 850,000",5+1,3,4,2-sty Terrace/Link House,Land area : 22x75 sq. ft.,Partly Furnished
"Taman Desa, Kuala Lumpur","RM 2,400,000",5,3,3,Semi-detached House (Intermediate),Land area : 40x85 sq. ft.,Partly Furnished
"Bandar Tasik Selatan, Kuala Lumpur","RM 240,000",3,2,1,Flat (Intermediate),Built-up : 870 sq. ft.,Partly Furnished
"Bukit Bintang, Kuala Lumpur","RM 1,200,000",3,2,1,Serviced Residence (Intermediate),"Built-up : 1,200 sq. ft.",Fully Furnished
"Bukit Bintang, Kuala Lumpur","RM 1,550,000",2+1,3,2,Condominium,"Built-up : 1,468 sq. ft.",Fully Furnished
"Cheras, Kuala Lumpur","RM 3,650,000",7,7,4,Bungalow (Corner),Land area : 10258 sq. ft.,Unfurnished
"Sentul, Kuala Lumpur","RM 1,250,000",3+1,4,2,Condominium,"Built-up : 1,757 sq. ft.",Partly Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","RM 380,000",1,2,1,Serviced Residence (Intermediate),Built-up : 775 sq. ft.,Partly Furnished
"Sentul, Kuala Lumpur","RM 1,180,000",3+1,3,2,Condominium (Corner),"Built-up : 1,488 sq. ft.",Partly Furnished
"Taman Tun Dr Ismail, Kuala Lumpur","RM 850,000",3,3,1,Townhouse,"Built-up : 1,350 sq. ft.",Fully Furnished
"Taman Tun Dr Ismail, Kuala Lumpur","RM 2,814,000",3+1,3,2,Serviced Residence (Corner),"Built-up : 2,426 sq. ft.",Unfurnished
"Cheras, Kuala Lumpur","RM 3,500,000",7,7,4,Bungalow (Intermediate),Land area : 8794 sq. ft.,Unfurnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","RM 710,000",3,2,2,Condominium (Intermediate),Built-up : 992 sq. ft.,Partly Furnished
"Cheras, Kuala Lumpur","RM 2,200,000",6,6,4,Semi-detached House (Intermediate),Land area : 50x80 sq. ft.,Partly Furnished
"Cheras, Kuala Lumpur","RM 3,500,000",7,7,4,Bungalow (Intermediate),Land area : 8536 sq. ft.,Unfurnished
"Sungai Besi, Kuala Lumpur","RM 565,000",4,2,2,Condominium (EndLot),"Built-up : 1,109 sq. ft.",Partly Furnished
"Sungai Besi, Kuala Lumpur","RM 520,000",3,2,2,Condominium (EndLot),Built-up : 935 sq. ft.,Partly Furnished
"Sri Hartamas, Kuala Lumpur","RM 480,000",1,1,1,Serviced Residence,Built-up : 500 sq. ft.,Fully Furnished
"Cheras, Kuala Lumpur","RM 3,500,000",7,7,4,Bungalow Land (Intermediate),Land area : 8482 sq. ft.,Unfurnished
"KLCC, Kuala Lumpur","RM 1,100,000",2+1,2,1,Serviced Residence (Corner),Built-up : 811 sq. ft.,Fully Furnished
"Mont Kiara, Kuala Lumpur","RM 2,956,300",4+1,4,3,Condominium (Corner),"Built-up : 3,478 sq. ft.",Fully Furnished
"Desa ParkCity, Kuala Lumpur","RM 1,980,000",4,3,3,2-sty Terrace/Link House,Land area : 22x75 sq. ft.,Partly Furnished
"Taman Duta, Kuala Lumpur","RM 28,000,000",7+,6,8,Bungalow (Intermediate),Land area : 15000 sq. ft.,Partly Furnished
"Mont Kiara, Kuala Lumpur","RM 12,800,000",8+,10,4,Bungalow (Corner),Land area : 15725 sq. ft.,Partly Furnished
"KLCC, Kuala Lumpur","RM 1,800,000",2+1,4,1,Serviced Residence,"Built-up : 1,885 sq. ft.",Fully Furnished
"Cheras, Kuala Lumpur","RM 3,500,000",7,7,4,Bungalow (Intermediate),Land area : 8521 sq. ft.,Unfurnished
"Mont Kiara, Kuala Lumpur","RM 1,050,000",3,3,2,Serviced Residence,"Built-up : 1,668 sq. ft.",Partly Furnished
"Bukit Jalil, Kuala Lumpur","RM 598,000",3,2,2,Condominium,"Built-up : 1,100 sq. ft.",Unfurnished
"Pantai, Kuala Lumpur","RM 448,000",3,2,1,Condominium (Corner),"Built-up : 1,100 sq. ft.",Partly Furnished
"Wangsa Maju, Kuala Lumpur","RM 468,000",3,2,1,Condominium (Corner),"Built-up : 1,150 sq. ft.",Partly Furnished
"Kepong, Kuala Lumpur","RM 1,250,000",5,5,3,3-sty Terrace/Link House (Intermediate),Land area : 22x85 sq. ft.,Partly Furnished
"KL Sentral, Kuala Lumpur","RM 2,230,000",3+1,3,2,Serviced Residence,"Built-up : 1,787 sq. ft.",Partly Furnished
"KL Sentral, Kuala Lumpur","RM 1,300,000",1+1,2,1,Serviced Residence,"Built-up : 1,087 sq. ft.",Unfurnished
"KL Sentral, Kuala Lumpur","RM 1,500,000",1+1,2,1,Serviced Residence,"Built-up : 1,259 sq. ft.",Partly Furnished
"Pantai, Kuala Lumpur","RM 498,000",3,2,1,Condominium,"Built-up : 1,039 sq. ft.",Partly Furnished
"Sri Petaling, Kuala Lumpur","RM 1,100,000",4,4,2,2-sty Terrace/Link House (Intermediate),Land area : 22x80 sq. ft.,Partly Furnished
"Sri Petaling, Kuala Lumpur","RM 1,100,000",4,4,2,2-sty Terrace/Link House (Intermediate),Land area : 22x75 sq. ft.,Fully Furnished
"Sri Petaling, Kuala Lumpur","RM 1,200,000",5,4,2,2-sty Terrace/Link House (Intermediate),Land area : 22x80 sq. ft.,Partly Furnished
"Sri Petaling, Kuala Lumpur","RM 360,000",3,2,1,Condominium (Corner),Land area : 1270 sq. ft.,Unfurnished
"Wangsa Maju, Kuala Lumpur","RM 490,000",3,3,2,Condominium (Intermediate),"Built-up : 1,267 sq. ft.",Partly Furnished
"Taman Melawati, Kuala Lumpur","RM 1,200,000",5,4,3,2-sty Terrace/Link House (Corner),Land area : 40x80 sq. ft.,Partly Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","RM 498,000",3,2,2,Condominium (Intermediate),Land area : 1212 sq. ft.,Partly Furnished
"Setapak, Kuala Lumpur","RM 1,400,000",5,5,4,Semi-detached House (Intermediate),Land area : 50x70 sq. ft.,Partly Furnished
"Setapak, Kuala Lumpur","RM 580,000",3,2,2,Condominium (Intermediate),"Built-up : 1,333 sq. ft.",Fully Furnished
"Sentul, Kuala Lumpur","RM 530,000",3,2,2,Condominium,"Built-up : 1,081 sq. ft.",Partly Furnished
"Cheras, Kuala Lumpur","RM 420,000",3,2,2,Townhouse,"Built-up : 1,470 sq. ft.",Partly Furnished
"Sri Petaling, Kuala Lumpur","RM 350,000",3,2,1,Condominium (Intermediate),"Built-up : 1,041 sq. ft.",Unfurnished
"Cheras, Kuala Lumpur","RM 730,000",5,3,2,2-sty Terrace/Link House (Intermediate),Land area : 1470 sq. ft.,Unfurnished
"Mont Kiara, Kuala Lumpur","RM 980,000",3+1,3,2,Condominium,"Built-up : 1,828 sq. ft.",Partly Furnished
"Mont Kiara, Kuala Lumpur","RM 1,100,000",3+1,3,2,Condominium,"Built-up : 1,820 sq. ft.",Fully Furnished
"Mont Kiara, Kuala Lumpur","RM 1,050,000",3+1,3,3,Condominium,"Built-up : 2,036 sq. ft.",Fully Furnished
"Kepong, Kuala Lumpur","RM 1,050,000",4,3,4,2-sty Terrace/Link House (Intermediate),"Built-up : 1,651 sq. ft.",Partly Furnished
"Cheras, Kuala Lumpur","RM 390,000",2,2,1,Condominium,Built-up : 852 sq. ft.,Partly Furnished
"Taman Desa, Kuala Lumpur","RM 1,280,000",4,4,2,Condominium (Corner),"Built-up : 1,784 sq. ft.",Partly Furnished
"Taman Desa, Kuala Lumpur","RM 410,000",3,2,1,Condominium (Intermediate),Built-up : 938 sq. ft.,Fully Furnished
"Taman Desa, Kuala Lumpur","RM 790,000",3+1,3,2,Condominium (Intermediate),"Built-up : 1,600 sq. ft.",Fully Furnished
"Jalan Ipoh, Kuala Lumpur","RM 2,000,000",8,5,8,Semi-detached House,Land area : 8316 sq. ft.,Unfurnished
"Kuchai Lama, Kuala Lumpur","RM 1,700,000",5+1,4,2,3-sty Terrace/Link House (Intermediate),Land area : 1400 sq. ft.,Unfurnished
"Mid Valley City, Kuala Lumpur","RM 1,600,000",4,4,2,Condominium,"Built-up : 1,905 sq. ft.",Partly Furnished
"Sungai Besi, Kuala Lumpur","RM 1,050,000",4+1,3,2,3-sty Terrace/Link House (Intermediate),Land area : 20x75 sq. ft.,Partly Furnished
"Bangsar, Kuala Lumpur","RM 14,200,000",12,8,6,Bungalow,Land area : 6507 sq. ft.,Partly Furnished
"Setapak, Kuala Lumpur","RM 429,999",4,2,2,Condominium (Intermediate),"Built-up : 1,272 sq. ft.",Partly Furnished
"Setapak, Kuala Lumpur","RM 790,000",4,4,2,Condominium,"Built-up : 1,869 sq. ft.",Partly Furnished
"Sungai Besi, Kuala Lumpur","RM 732,500",3+1,3,3,Condominium (Corner),"Built-up : 1,307 sq. ft.",Partly Furnished
"Sungai Besi, Kuala Lumpur","RM 692,500",3,2,3,Condominium (Corner),"Built-up : 1,207 sq. ft.",Partly Furnished
"Sungai Besi, Kuala Lumpur","RM 670,500",3+1,2,2,Condominium (Corner),"Built-up : 1,110 sq. ft.",Partly Furnished
"Sungai Besi, Kuala Lumpur","RM 568,600",2+1,2,2,Condominium (Corner),Built-up : 904 sq. ft.,Partly Furnished
"Kuchai Lama, Kuala Lumpur","RM 610,000",3+1,2,2,Condominium (Intermediate),"Built-up : 1,450 sq. ft.",Fully Furnished
"Kuchai Lama, Kuala Lumpur","RM 665,000",3+1,2,4,Condominium (Intermediate),"Built-up : 1,448 sq. ft.",Fully Furnished
"Kuchai Lama, Kuala Lumpur","RM 550,000",3+1,2,2,Condominium (Intermediate),"Built-up : 1,120 sq. ft.",Fully Furnished
"Cheras, Kuala Lumpur","RM 640,000",4,3,2,2-sty Terrace/Link House (Intermediate),Land area : 20x65 sq. ft.,Partly Furnished
"Ampang, Kuala Lumpur","RM 700,000",3,2,3,1-sty Terrace/Link House,Land area : 2983 sq. ft.,Partly Furnished
"Mont Kiara, Kuala Lumpur","RM 620,000",Studio,1,1,Serviced Residence (Studio),Built-up : 462 sq. ft.,Fully Furnished
"Mont Kiara, Kuala Lumpur","RM 590,000",Studio,1,1,Serviced Residence (Studio),Built-up : 462 sq. ft.,Fully Furnished
"Sentul, Kuala Lumpur","RM 280,000",3,2,1,Condominium (Intermediate),Built-up : 973 sq. ft.,Unfurnished
"Wangsa Maju, Kuala Lumpur","RM 500,000",3,2,1,2.5-sty Terrace/Link House (Intermediate),Land area : 14x42 sq. ft.,Fully Furnished
"Taman Melawati, Kuala Lumpur","RM 420,000",2,2,2,2-sty Terrace/Link House (Intermediate),Land area : 15x70 sq. ft.,Unfurnished
"Setapak, Kuala Lumpur","RM 990,000",4+1,4,2,3-sty Terrace/Link House (Intermediate),Land area : 24x60 sq. ft.,Fully Furnished
"Setapak, Kuala Lumpur","RM 185,000",3,1,2,Flat (Corner),Built-up : 700 sq. ft.,Partly Furnished
"Wangsa Maju, Kuala Lumpur","RM 240,000",2,1,2,Flat (EndLot),Built-up : 530 sq. ft.,Partly Furnished
"Setapak, Kuala Lumpur","RM 175,000",3,1,2,Flat (EndLot),Built-up : 700 sq. ft.,Partly Furnished
"Wangsa Maju, Kuala Lumpur","RM 210,000",2,1,2,Flat (Intermediate),Built-up : 530 sq. ft.,Partly Furnished
"KLCC, Kuala Lumpur","RM 2,390,000",2,2,1,Serviced Residence (Intermediate),"Built-up : 1,187 sq. ft.",Fully Furnished
"Cheras, Kuala Lumpur","RM 567,000",3,2,2,Condominium,Land area : 1220 sq. ft.,Fully Furnished
"Desa Petaling, Kuala Lumpur","RM 300,000",2,2,1,Condominium,Land area : 1098 sq. ft.,Fully Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","RM 400,000",1,2,1,Serviced Residence (SOHO),Built-up : 775 sq. ft.,Unfurnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","RM 388,000",1,2,1,Serviced Residence (SOHO),Built-up : 775 sq. ft.,Unfurnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","RM 390,000",1,2,1,Serviced Residence (Intermediate),Built-up : 775 sq. ft.,Partly Furnished
"KL Sentral, Kuala Lumpur","RM 780,000",1,1,1,Serviced Residence,Built-up : 650 sq. ft.,Partly Furnished
"Mont Kiara, Kuala Lumpur","RM 1,150,000",2,2,1,Serviced Residence,Built-up : 973 sq. ft.,Unfurnished
"KL Sentral, Kuala Lumpur","RM 1,120,000",3,2,2,Serviced Residence,"Built-up : 1,025 sq. ft.",Partly Furnished
"KL Sentral, Kuala Lumpur","RM 1,280,000",3,2,2,Serviced Residence,"Built-up : 1,166 sq. ft.",Partly Furnished
"KL Sentral, Kuala Lumpur","RM 860,000",3,3,2,Serviced Residence,Built-up : 724 sq. ft.,Partly Furnished
"Bukit Jalil, Kuala Lumpur","RM 480,000",2+1,2,1,Apartment (Intermediate),Land area : 996 sq. ft.,Partly Furnished
"Segambut, Kuala Lumpur","RM 720,000",3+1,3,2,Condominium,"Built-up : 1,893 sq. ft.",Partly Furnished
"Mont Kiara, Kuala Lumpur","RM 1,430,000",2,2,1,Serviced Residence,"Built-up : 1,414 sq. ft.",Fully Furnished
"Cheras, Kuala Lumpur","RM 930,000",4,3,2,2-sty Terrace/Link House (Intermediate),Land area : 20X75 sq. ft.,Fully Furnished
"Mont Kiara, Kuala Lumpur","RM 2,500,000",3+1,4,2,Condominium,"Built-up : 2,691 sq. ft.",Unfurnished
"Mont Kiara, Kuala Lumpur","RM 1,180,000",3+1,4,3,Condominium,"Built-up : 1,605 sq. ft.",Partly Furnished
"Bukit Jalil, Kuala Lumpur","RM 1,850,000",3+1,3,3,Condominium (Corner),Land area : 2500 sq. ft.,Fully Furnished
"Bukit Jalil, Kuala Lumpur","RM 1,350,000",5+1,6,2,3-sty Terrace/Link House (EndLot),Land area : 1650 sq. ft.,Partly Furnished
"Salak Selatan, Kuala Lumpur","RM 790,000",3,2,2,Condominium (Intermediate),Land area : 1115 sq. ft.,Partly Furnished
"Bukit Jalil, Kuala Lumpur","RM 1,400,000",4+1,5,2,3-sty Terrace/Link House (Intermediate),Land area : 1606 sq. ft.,Unfurnished
"Bukit Jalil, Kuala Lumpur","RM 3,000,000",5+2,7,4,Semi-detached House (Intermediate),Land area : 4050 sq. ft.,Unfurnished
"Bukit Jalil, Kuala Lumpur","RM 500,000",2+1,2,1,Apartment (Corner),Land area : 993 sq. ft.,Partly Furnished
"Bukit Jalil, Kuala Lumpur","RM 330,000",2,2,1,Apartment (Corner),Land area : 730 sq. ft.,Unfurnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","RM 450,000",3,2,1,Serviced Residence (Intermediate),Land area : 950 sq. ft.,Partly Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","RM 650,000",2,2,1,Serviced Residence (Intermediate),Land area : 914 sq. ft.,Partly Furnished
"Bukit Jalil, Kuala Lumpur","RM 1,600,000",5+1,4,2,2.5-sty Terrace/Link House (Intermediate),Land area : 1840 sq. ft.,Partly Furnished
"Cheras, Kuala Lumpur","RM 610,000",3,2,2,Condominium (Corner),Land area : 1098 sq. ft.,Partly Furnished
"Bukit Jalil, Kuala Lumpur","RM 1,800,000",6+1,7,2,2.5-sty Terrace/Link House (Intermediate),Land area : 1840 sq. ft.,Unfurnished
"Sungai Besi, Kuala Lumpur","RM 1,550,000",4+1,5,2,3-sty Terrace/Link House (Intermediate),Land area : 1920 sq. ft.,Unfurnished
"Bukit Jalil, Kuala Lumpur","RM 1,500,000",3+2,4,2,Condominium (Corner),Land area : 1700 sq. ft.,Fully Furnished
"Bukit Jalil, Kuala Lumpur","RM 1,180,000",3,3,2,Condominium (Intermediate),Land area : 1409 sq. ft.,Partly Furnished
"Bukit Jalil, Kuala Lumpur","RM 400,000",3,2,1,Apartment (Intermediate),Land area : 1098 sq. ft.,Partly Furnished
"Bukit Jalil, Kuala Lumpur","RM 500,000",2+1,2,1,Apartment (Intermediate),Land area : 996 sq. ft.,Partly Furnished
"Bukit Jalil, Kuala Lumpur","RM 550,000",3,2,1,Condominium (Corner),Land area : 1200 sq. ft.,Unfurnished
"Sri Petaling, Kuala Lumpur","RM 670,000",5,3,1,3-sty Terrace/Link House (Intermediate),Land area : 880 sq. ft.,Partly Furnished
"Cheras, Kuala Lumpur","RM 3,718,800",6+1,7,6,Bungalow (Intermediate),Land area : 8321 sq. ft.,Partly Furnished
"Cheras, Kuala Lumpur","RM 4,012,000",6+1,8,4,Bungalow (Intermediate),Land area : 5792 sq. ft.,Unfurnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","RM 388,000",3,2,1,Serviced Residence (Intermediate),Land area : 950 sq. ft.,Unfurnished
"Bukit Jalil, Kuala Lumpur","RM 3,200,000",4+2,5,4,Condominium (Corner),Land area : 3438 sq. ft.,Unfurnished
"Cheras, Kuala Lumpur","RM 460,000",2,2,1,Serviced Residence (Corner),Land area : 916 sq. ft.,Partly Furnished
"Mont Kiara, Kuala Lumpur","RM 1,500,000",3+1,4,2,Condominium,"Built-up : 1,900 sq. ft.",Fully Furnished
"Bukit Jalil, Kuala Lumpur","RM 460,000",3,2,1,Condominium (Corner),Land area : 1200 sq. ft.,Partly Furnished
"Bukit Jalil, Kuala Lumpur","RM 850,000",5+1,3,2,Condominium (Intermediate),Land area : 2509 sq. ft.,Partly Furnished
"Bukit Jalil, Kuala Lumpur","RM 2,400,000",5+2,5,4,3-sty Terrace/Link House (EndLot),Land area : 2640 sq. ft.,Partly Furnished
"Bukit Jalil, Kuala Lumpur","RM 1,600,000",4+1,5,2,3-sty Terrace/Link House (Corner),Land area : 2263 sq. ft.,Unfurnished
"Bukit Jalil, Kuala Lumpur","RM 2,500,000",6+1,7,2,2.5-sty Terrace/Link House (Corner),Land area : 3485 sq. ft.,Unfurnished
"Bukit Jalil, Kuala Lumpur","RM 1,650,000",1+1,3,2,Condominium (Corner),Land area : 1700 sq. ft.,Partly Furnished
"Bandar Menjalara, Kuala Lumpur","RM 620,000",3,2,2,Condominium (Intermediate),"Built-up : 1,316 sq. ft.",Partly Furnished
"Sungai Besi, Kuala Lumpur","RM 2,600,000",4+1,5,4,Semi-detached House (Intermediate),Land area : 3780 sq. ft.,Partly Furnished
"Bukit Jalil, Kuala Lumpur","RM 840,000",4+1,3,3,Condominium (Corner),Land area : 1600 sq. ft.,Partly Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","RM 725,000",3+1,2,2,Condominium (Intermediate),Land area : 992 sq. ft.,Partly Furnished
"Bukit Jalil, Kuala Lumpur","RM 2,300,000",5+1,4,2,2.5-sty Terrace/Link House (EndLot),Land area : 2640 sq. ft.,Partly Furnished
"Kepong, Kuala Lumpur","RM 500,000",3,2,1,Condominium (Corner),"Built-up : 1,109 sq. ft.",Fully Furnished
"Bukit Jalil, Kuala Lumpur","RM 3,800,000",4+2,5,4,Condominium (Corner),Land area : 3952 sq. ft.,Partly Furnished
"Bukit Jalil, Kuala Lumpur","RM 470,000",4,2,1,Condominium (Intermediate),Land area : 1080 sq. ft.,Partly Furnished
"Cheras, Kuala Lumpur","RM 438,000",3,2,1,Condominium (EndLot),Land area : 1076 sq. ft.,Partly Furnished
"Sungai Besi, Kuala Lumpur","RM 1,580,000",5,5,2,3-sty Terrace/Link House (Intermediate),Land area : 1500 sq. ft.,Partly Furnished
"Bukit Jalil, Kuala Lumpur","RM 2,100,000",3+1,5,3,Condominium,"Built-up : 2,253 sq. ft.",Unfurnished
"Taman Tun Dr Ismail, Kuala Lumpur","RM 760,000",2+1,2,1,Condominium (Intermediate),Land area : 1250 sq. ft.,Partly Furnished
"Wangsa Maju, Kuala Lumpur","RM 515,000",3+1,2,1,Serviced Residence (Intermediate),Built-up : 850 sq. ft.,Partly Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","RM 1,088,888",3+1,4,2,Condominium (Corner),"Built-up : 2,128 sq. ft.",Fully Furnished
"Bangsar, Kuala Lumpur","RM 1,380,000",2,2,1,Serviced Residence (Intermediate),"Built-up : 1,076 sq. ft.",Fully Furnished
"Cheras, Kuala Lumpur","RM 818,000",3+1,3,2,Condominium,"Built-up : 1,600 sq. ft.",Partly Furnished
"Ampang Hilir, Kuala Lumpur","RM 1,010,000",1+1,2,1,Serviced Residence,Land area : 942 sq. ft.,Fully Furnished
"Ampang Hilir, Kuala Lumpur","RM 565,000",Studio,1,1,Serviced Residence,Land area : 502 sq. ft.,Fully Furnished
"Bangsar, Kuala Lumpur","RM 1,550,000",4,2,2,2-sty Terrace/Link House (EndLot),Land area : 25x75 sq. ft.,Partly Furnished
"Jalan Kuching, Kuala Lumpur","RM 320,000",3,2,1,Condominium (Intermediate),"Built-up : 1,202 sq. ft.",Fully Furnished
"Setapak, Kuala Lumpur","RM 465,000",3,2,2,Serviced Residence,Land area : 1018 sq. ft.,Partly Furnished
"Cheras, Kuala Lumpur","RM 560,000",4+1,3,3,2-sty Terrace/Link House,Land area : 18*70 sq. ft.,Partly Furnished
"Batu Caves, Kuala Lumpur","RM 210,000",3,2,1,Apartment (Penthouse),Land area : 900 sq. ft.,Partly Furnished
"Cheras, Kuala Lumpur","RM 550,000",4,3,2,2-sty Terrace/Link House,"Built-up : 1,100 sq. ft.",Partly Furnished
"Cheras, Kuala Lumpur","RM 650,000",4+1,3,2,2-sty Terrace/Link House,Land area : 20*65 sq. ft.,Partly Furnished
"Mont Kiara, Kuala Lumpur","RM 680,000",1,1,1,Condominium (Intermediate),Built-up : 70 sq. m.,Fully Furnished
"Mont Kiara, Kuala Lumpur","RM 1,400,000",3+1,3,2,Condominium,"Built-up : 1,448 sq. ft.",Fully Furnished
"Damansara, Kuala Lumpur","RM 3,000,000",5,6,4,Bungalow (Intermediate),"Built-up : 3,444 sq. ft.",Unfurnished
"Mont Kiara, Kuala Lumpur","RM 1,830,000",4+1,6,3,Condominium,"Built-up : 2,495 sq. ft.",Fully Furnished
"Mont Kiara, Kuala Lumpur","RM 2,000,000",4+1,4,2,Condominium,"Built-up : 3,000 sq. ft.",Fully Furnished
"Mont Kiara, Kuala Lumpur","RM 1,600,000",5,4,3,Condominium,"Built-up : 2,513 sq. ft.",Fully Furnished
"Mont Kiara, Kuala Lumpur","RM 1,280,000",4,3,2,Condominium,"Built-up : 1,787 sq. ft.",Partly Furnished
"Bukit Bintang, Kuala Lumpur","RM 4,760,000",3+2,5,2,Serviced Residence (Corner),"Built-up : 2,645 sq. ft.",Fully Furnished
"KLCC, Kuala Lumpur","RM 2,890,000",1,2,1,Serviced Residence,"Built-up : 1,163 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur","RM 3,100,000",2,2,2,Serviced Residence (Corner),"Built-up : 1,196 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur","RM 3,800,000",3,3,2,Serviced Residence (Corner),"Built-up : 1,560 sq. ft.",Fully Furnished
"KLCC, Kuala Lumpur","RM 8,310,000",4+1,6,4,Serviced Residence (Corner),"Built-up : 2,960 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur","RM 4,750,000",3+1,5,2,Serviced Residence,"Built-up : 2,142 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur","RM 3,380,000",1+1,2,2,Serviced Residence,"Built-up : 1,507 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur","RM 3,230,000",1+1,2,2,Serviced Residence,"Built-up : 1,421 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur","RM 4,700,000",2+1,4,2,Serviced Residence (Corner),"Built-up : 1,938 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur","RM 3,700,000",2,3,2,Serviced Residence (Intermediate),"Built-up : 1,572 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur","RM 3,700,000",2,3,2,Serviced Residence,"Built-up : 1,636 sq. ft.",Partly Furnished
"City Centre, Kuala Lumpur","RM 1,490,000",1,2,1,Serviced Residence,"Built-up : 1,131 sq. ft.",Fully Furnished
"Bukit Bintang, Kuala Lumpur","RM 3,850,000",3+1,5,2,Serviced Residence (Corner),"Built-up : 2,405 sq. ft.",Fully Furnished
"KLCC, Kuala Lumpur","RM 1,690,000",2,2,1,Serviced Residence,"Built-up : 1,227 sq. ft.",Fully Furnished
"KLCC, Kuala Lumpur","RM 3,200,000",2,2,1,Serviced Residence (Corner),"Built-up : 1,184 sq. ft.",Fully Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","RM 715,000",2,2,2,Condominium,Built-up : 803 sq. ft.,Partly Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","RM 938,000",3,2,2,Condominium,"Built-up : 1,238 sq. ft.",Partly Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","RM 948,000",3,2,2,Condominium,"Built-up : 1,238 sq. ft.",Partly Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","RM 990,000",3,2,2,Condominium,"Built-up : 1,238 sq. ft.",Partly Furnished
"Setapak, Kuala Lumpur","RM 750,000",3,2,2,Serviced Residence (Intermediate),"Built-up : 1,281 sq. ft.",Partly Furnished
